"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Scenario","Iteration","N_train"
"sebart",750.378088262254,617.577932489409,466.864055694972,4.271,0.823,1153.01678304604,0.747,814.742682161228,0.907,1514.54799456822,0.865,1228.0005960411,0.939,1834.33542472222,0.947,1573.72368078031,"box_cox_sqrt",1,200
"bart",349.583324188714,697.807425084203,453.597620974628,0.873,0.925,626.347476000568,0.924,614.377878450253,0.949,823.97335594588,0.951,810.146102721798,0.963,996.783699728082,0.962,982.912267290118,"box_cox_sqrt",1,200
"bart_bc",640.877514693011,637.15582677293,472.782562725677,2.297,0.796,1139.98511742922,0.706,870.743093174583,0.888,1589.68356028139,0.857,1256.77865723958,0.938,2061.24077361032,0.946,1677.47249145556,"box_cox_sqrt",1,200
"sblm",985.00181523958,507.672398897633,432.702011077902,2.062,0.82,1693.66777073212,0.82,936.694932016581,0.92,2809.58689354129,0.907,1777.58081739039,0.964,4231.77593968916,0.948,2932.48368672786,"box_cox_sqrt",1,200
"sebart",1206.69826135525,660.157734251191,537.482581903569,4.238,0.83,713.629208239813,0.783,567.552629548722,0.904,933.32845280781,0.886,778.147906964672,0.935,1135.61971063319,0.94,985.083106403623,"box_cox_sqrt",2,200
"bart",1020.05283656671,748.739050170377,541.745772628819,0.989000000000001,0.859,426.521612322995,0.853,420.301059224979,0.907,548.239933584248,0.903,541.347309626651,0.929,652.609058374562,0.928,645.839790575123,"box_cox_sqrt",2,200
"bart_bc",1280.0624272627,660.758735129538,541.911899880507,2.269,0.793,1120.32440266244,0.705,827.598335355078,0.875,1578.49638823186,0.871,1218.66892407758,0.925,2069.45674950619,0.939,1653.45464093535,"box_cox_sqrt",2,200
"sblm",1394.95761000156,554.54362743243,506.494644832361,2.093,0.804,1159.76733924304,0.805,787.168123962495,0.886,1635.01017493925,0.882,1234.56052345413,0.915,2102.13889237149,0.912,1708.63322138165,"box_cox_sqrt",2,200
"sebart",931.076642639022,703.368749208029,529.911718141298,4.482,0.834,1221.36548444996,0.791,861.192779677504,0.916,1577.63094813876,0.901,1295.85849566092,0.952,2026.81177704892,0.95,1635.83423646818,"box_cox_sqrt",3,200
"bart",414.46531002748,816.442908689693,524.265600350704,0.888000000000002,0.858,621.278089305453,0.853,608.621330002626,0.902,818.052370769813,0.899,804.221392015827,0.925,995.619207654797,0.925,980.434913428031,"box_cox_sqrt",3,200
